일자,시가,고가,저가,종가,전일비,,등락률,거래량,거래대금(백만),개인,외국인,기관
2020/11/20,"66,990","67,160","66,920","67,160",▲,"160","+0.24%","58,097","3,892","-29","0","+17"
2020/11/19,"66,830","67,160","66,830","67,000",▲,"10","+0.01%","59,232","3,971","-18","0","+7"
2020/11/18,"67,290","67,360","66,980","66,990",▼,"-300","-0.45%","99,573","6,689","-18","0","0"
2020/11/17,"67,650","67,650","67,260","67,290",▼,"-410","-0.61%","63,866","4,307","-12","0","+14"
2020/11/16,"67,120","67,890","67,120","67,700", ,"0","0%","41,669","2,821","-4","0","+10"
2020/11/13,"67,490","67,760","67,480","67,700",▲,"380","+0.56%","39,816","2,693","+18","+1","+3"
2020/11/12,"67,120","67,500","67,090","67,320",▼,"-250","-0.37%","70,635","4,747","0","0","+7"
2020/11/11,"67,980","67,980","67,450","67,570",▼,"-420","-0.62%","89,479","6,052","+37","0","-26"
2020/11/10,"67,460","68,000","67,460","67,990",▼,"-2,480","-3.52%","190,414","12,885","+116","0","-93"
2020/11/09,"70,500","70,800","70,400","70,470",▲,"240","+0.34%","65,808","4,640","+20","0","+9"
2020/11/06,"70,780","70,780","70,200","70,230",▲,"680","+0.98%","171,997","12,126","+10","0","-2"
2020/11/05,"69,620","69,670","69,300","69,550",▼,"-80","-0.11%","36,767","2,557","+9","0","-4"
2020/11/04,"69,800","69,870","69,350","69,630",▲,"390","+0.56%","69,207","4,818","-12","0","+26"
2020/11/03,"69,210","69,380","69,210","69,240",▲,"290","+0.42%","37,883","2,625","+12","0","+6"
2020/11/02,"68,470","69,000","68,470","68,950",▲,"530","+0.77%","37,511","2,581","+3","-2","+10"
2020/10/30,"68,650","68,650","68,150","68,420",▼,"-390","-0.57%","176,112","12,006","+17","0","+11"
2020/10/29,"69,020","69,020","68,710","68,810",▼,"-800","-1.15%","121,515","8,360","+34","0","-14"
2020/10/28,"69,400","69,640","69,320","69,610",▲,"220","+0.32%","57,129","3,967","-11","0","+20"
2020/10/27,"69,230","69,580","69,230","69,390",▲,"290","+0.42%","36,454","2,531","-9","0","+15"
2020/10/26,"69,500","69,500","69,070","69,100",▼,"-600","-0.86%","65,331","4,521","+25","0","-13"
2020/10/23,"69,950","69,950","69,690","69,700",▼,"-380","-0.54%","97,574","6,807","+44","0","-19"
2020/10/22,"70,230","70,300","69,980","70,080",▲,"40","+0.06%","33,352","2,340","+2","0","+5"
2020/10/21,"70,030","70,300","70,000","70,040",▲,"70","+0.10%","92,127","6,461","+4","0","+8"
2020/10/20,"70,220","70,220","69,870","69,970",▼,"-600","-0.85%","75,373","5,277","+29","0","+4"
2020/10/19,"70,440","70,570","70,000","70,570",▼,"-10","-0.01%","53,589","3,763","+13","0","+10"
2020/10/16,"70,250","70,600","70,250","70,580",▲,"450","+0.64%","31,411","2,216","+8","0","+4"
2020/10/15,"70,440","70,440","70,100","70,130",▼,"-170","-0.24%","46,073","3,234","+15","0","-1"
2020/10/14,"70,590","70,590","69,890","70,300",▼,"-760","-1.07%","87,602","6,135","+67","0","-27"
2020/10/13,"71,400","71,400","70,900","71,060",▼,"-330","-0.46%","47,606","3,384","+24","0","0"
2020/10/12,"71,420","71,470","71,250","71,390",▲,"1,040","+1.48%","58,421","4,170","+1","0","+22"
2020/10/08,"70,580","70,580","70,330","70,350",▼,"-230","-0.33%","63,576","4,477","+40","0","+1"
2020/10/07,"70,880","70,880","70,480","70,580",▼,"-980","-1.37%","74,148","5,234","+46","0","-21"
2020/10/06,"71,110","71,560","71,110","71,560",▲,"510","+0.72%","53,713","3,841","-1","0","+14"
2020/10/05,"71,700","71,700","71,000","71,050",▲,"270","+0.38%","81,924","5,844","+32","0","+11"
2020/09/29,"70,810","71,180","70,700","70,780",▲,"430","+0.61%","85,570","6,078","+40","0","-16"
2020/09/28,"71,000","71,000","70,130","70,350",▼,"-190","-0.27%","82,650","5,811","+30","0","-41"
2020/09/25,"70,200","70,550","70,200","70,540",▲,"740","+1.06%","76,431","5,379","+17","0","-23"
