일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2020/11/20,"12,600","13,150","12,400","12,750",▼,"-50","-0.39","5,006,736","63,838","0","0","0","0","0","163,736","1.25"
2020/11/19,"10,400","12,800","10,150","12,800",↑,"2,920","+29.55","23,174,111","278,904","8.96","7,766","-24,670","-22,712","1,513","-21,129","1.25"
2020/11/18,"9,620","10,000","9,620","9,880",▲,"240","+2.49","393,812","3,875","9.07","-20,353","5,065","16,157","5,038","11,970","1.39"
2020/11/17,"10,000","10,000","9,640","9,640",▼,"-360","-3.60","326,639","3,180","8.94","23,959","34","-24,037","-8,588","-23,620","1.29"
2020/11/16,"10,250","10,300","9,990","10,000",▼,"-250","-2.44","560,404","5,683","9.03","22,846","-7,956","-12,456","1,626","-23,840","1.43"
2020/11/13,"9,700","10,400","9,610","10,250",▲,"500","+5.13","1,333,121","13,548","8.90","8,447","8,385","-17,665","-19,527","-3,737","1.51"
2020/11/12,"10,100","10,100","9,730","9,750",▼,"-220","-2.21","265,227","2,608","8.79","46,779","-7","-46,046","-22,016","-42,030","1.61"
2020/11/11,"9,980","9,990","9,500","9,970",▲,"170","+1.73","662,152","6,461","8.85","26,677","-13","-29,389","-32,448","-27,628","1.89"
2020/11/10,"9,810","9,930","9,650","9,800",▼,"-400","-3.92","588,460","5,771","8.88","45,196","-8,191","-37,848","-38,181","-42,386","2.07"
2020/11/09,"9,450","10,350","9,400","10,200",▲,"900","+9.68","1,136,347","11,383","8.97","-67,789","35,949","27,617","5,104","20,418","2.30"
2020/11/06,"9,420","9,450","9,240","9,300",▼,"-100","-1.06","234,416","2,186","8.78","-26,371","37","26,934","12,584","21,864","2.13"
2020/11/05,"9,670","9,670","9,240","9,400",▲,"330","+3.64","461,476","4,347","8.85","87,776","-45","-88,351","-50,128","-85,717","1.97"
2020/11/04,"9,160","9,280","9,030","9,070",▼,"-10","-0.11","128,100","1,169","8.87","-7,122","17","7,004","7,835","6,513","2.50"
2020/11/03,"8,910","9,110","8,910","9,080",▲,"180","+2.02","117,959","1,068","8.94","-17,018","2,901","14,753","10,803","16,963","2.46"
2020/11/02,"8,770","9,000","8,620","8,900",▲,"170","+1.95","116,742","1,036","9.01","-57,204","-34","57,818","36,088","54,300","2.37"
2020/10/30,"9,020","9,130","8,690","8,730",▼,"-290","-3.22","185,417","1,656","8.91","-7,962","-30","7,261","8,357","9,377","2.02"
2020/10/29,"8,800","9,310","8,610","9,020",▲,"120","+1.35","445,961","4,041","8.93","63,410","-4","-63,432","-42,858","-63,666","1.98"
2020/10/28,"8,690","9,140","8,660","8,900",▲,"220","+2.53","321,071","2,856","9.03","-3,784","-232","-251","-6,737","4,993","2.36"
2020/10/27,"8,300","8,880","8,250","8,680",▲,"210","+2.48","307,432","2,670","8.99","-85,346","-2","85,339","60,969","84,462","2.36"
2020/10/26,"9,140","9,170","8,450","8,470",▼,"-640","-7.03","319,869","2,782","9.13","-18,460","80","18,426","17,925","15,870","1.85"
2020/10/23,"9,230","9,300","8,990","9,110",▼,"-90","-0.98","215,548","1,965","9.03","-43,934","1","44,369","36,413","44,193","1.74"
2020/10/22,"9,470","9,520","9,190","9,200",▼,"-360","-3.77","248,164","2,311","9.09","18,568","1","-16,075","-15,526","-18,637","1.47"
2020/10/21,"9,530","9,700","9,460","9,560",▲,"100","+1.06","172,421","1,650","8.98","-8,192","17","8,647","-2,085","10,047","1.57"
2020/10/20,"9,700","9,800","9,350","9,460",▼,"-260","-2.67","356,496","3,386","8.84","-55,407","40","55,051","47,635","50,428","1.51"
2020/10/19,"10,250","10,300","9,720","9,720",▼,"-480","-4.71","435,405","4,324","8.86","21,826","12","-24,013","-10,952","-23,971","1.18"
2020/10/16,"10,450","10,750","10,000","10,200",▼,"-300","-2.86","315,496","3,243","8.78","8,546","10","-7,450","-2,897","-7,305","1.33"
2020/10/15,"11,000","11,000","10,400","10,500",▼,"-450","-4.11","285,233","3,010","8.92","30,405","-1,546","-29,166","-19,843","-23,225","1.37"
2020/10/14,"10,500","11,000","10,500","10,950",▲,"400","+3.79","399,440","4,308","8.96","9,847","122","-10,958","-19,472","-9,683","1.55"
2020/10/13,"10,750","10,800","10,500","10,550",▼,"-200","-1.86","181,185","1,918","8.87","8,955","-93","-8,464","-5,716","-8,564","1.61"
2020/10/12,"11,100","11,100","10,650","10,750",▼,"-350","-3.15","265,456","2,864","8.93","2,459","-117","-2,785","-6,556","-2,309","1.66"
2020/10/08,"11,250","11,650","10,900","11,100", ,"0","0","498,882","5,614","8.90","35,747","-91","-36,657","-14,959","-37,808","1.68"
2020/10/07,"10,900","11,100","10,750","11,100",▲,"200","+1.83","170,433","1,874","8.85","-28,654","112","29,016","21,831","27,648","1.90"
2020/10/06,"10,800","11,200","10,750","10,900",▲,"150","+1.40","315,364","3,462","8.90","1,082","14","-1,276","6,100","-573","1.73"
2020/10/05,"10,600","10,800","10,400","10,750",▲,"150","+1.42","216,938","2,306","9.16","3,302","880","-4,808","-11,116","-7,216","1.73"
2020/09/29,"10,550","10,750","10,450","10,600",▲,"50","+0.47","279,252","2,959","9.18","-10,421","5","10,279","7,741","5,883","1.76"
2020/09/28,"10,400","10,650","10,300","10,550",▲,"350","+3.43","272,928","2,860","9.22","-18,710","-5","18,311","13,167","18,287","1.70"
2020/09/25,"10,300","10,500","10,200","10,200",▼,"-50","-0.49","407,222","4,210","9.20","-15,436","-14","14,402","15,998","11,889","1.59"
2020/09/24,"10,800","11,150","10,200","10,250",▼,"-800","-7.24","586,430","6,182","9.19","-25,374","-2,928","27,036","15,474","21,264","1.50"
2020/09/23,"11,400","11,600","10,900","11,050",▼,"-200","-1.78","409,320","4,582","9.26","-366","-217","-2,994","3,283","-4,844","1.34"
2020/09/22,"11,250","11,650","11,150","11,250",▼,"-150","-1.32","536,325","6,099","9.65","13,420","-14","-737","-1,720","1,385","1.36"
